流水號,課程名稱,授課教師,時間&教室,課程連結
43630,(大)法官如何思考？司法行為與司法政治上,林建志,"一3,4(國發210)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=341%20U9340&class=&dpt_code=3410&ser_no=43630&semester=113-1&lang=CH
61032,財務報表分析,黃承祖,"一8,9(霖1304)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=A21%20U6620&class=&dpt_code=A010&ser_no=61032&semester=113-1&lang=CH
71504,人口統計學,蘇士詠,"三6,7,8(博雅204)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=H41%20U0040&class=&dpt_code=H410&ser_no=71504&semester=113-1&lang=CH
67518,人口資料視覺化實作,溫在弘,,https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=P46%20U0070&class=&dpt_code=P460&ser_no=67518&semester=113-1&lang=CH
62222,人工智慧、大數據與競爭法一,黃銘傑,"一8,9(霖研五1702)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=A21%20M2490&class=&dpt_code=A410&ser_no=62222&semester=113-1&lang=CH
41631,人工智慧、大數據與競爭法二,黃銘傑,"一8,9(請洽系所辦)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=A21%20M2500&class=&dpt_code=A410&ser_no=41631&semester=113-1&lang=CH
87610,人工智慧、大數據與競爭法三,黃銘傑,"一8,9(請洽系所辦)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=A21%20M2510&class=&dpt_code=A410&ser_no=87610&semester=113-1&lang=CH
83034,歐洲國際關係與安全合作,陳世民,"一6,7(社科307)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=302%2052600&class=&dpt_code=3020&ser_no=83034&semester=113-1&lang=CH
74569,人工智慧中的邏輯方法,史德凡,"三7,8,9(普406)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=104%2058200&class=&dpt_code=1040&ser_no=74569&semester=113-1&lang=CH
10880,人工智慧概論,陳倩瑜,"四7,8,9(知武會議室)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=611%2039000&class=&dpt_code=6110&ser_no=10880&semester=113-1&lang=CH
83895,人文地理調查方法,林楨家,"五2,3,4(地理二教室)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=208%2039630&class=&dpt_code=2080&ser_no=83895&semester=113-1&lang=CH
79554,永續循環農業,潘述元,"五2,3,4(農工金城)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=622%20M3110&class=&dpt_code=6220&ser_no=79554&semester=113-1&lang=CH
75254,永續農業旅遊,陳惠美,"五2,3,4(請洽系所辦)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=628%20U1870&class=&dpt_code=6080&ser_no=75254&semester=113-1&lang=CH
73601,人文地理學通論,簡旭伸,"四7,8,9(地理305)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=208%2010650&class=&dpt_code=2080&ser_no=73601&semester=113-1&lang=CH
74987,人文科技的交響：新趨勢與新素養（一）,鄭毓瑜,"四7,8,9(博雅301)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2011230&class=&dpt_code=0000&ser_no=74987&semester=113-1&lang=CH
63352,人因工程應用實務,黃瀅瑛,"二2,3,4(普505)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=522%20U6490&class=&dpt_code=5020&ser_no=63352&semester=113-1&lang=CH
42356,資料探勘論文研討一,魏志平,,https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=725%20M3670&class=&dpt_code=7250&ser_no=42356&semester=113-1&lang=CH
72890,人智計算,王志宇,"三2,3,4(請洽系所辦)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=949%20D0410&class=&dpt_code=9460&ser_no=72890&semester=113-1&lang=CH
23528,人與環境關係導論,畢恆達,"四A,B,C(普203)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=501%2039400&class=&dpt_code=P360&ser_no=23528&semester=113-1&lang=CH
16354,行銷研究,陳瑀屏,"三6,7,8(管二301)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=704%2030530&class=01&dpt_code=7040&ser_no=16354&semester=113-1&lang=CH
30442,行銷研究,陳譽仁,"五5,6,7(管二301)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=704%2030530&class=02&dpt_code=7040&ser_no=30442&semester=113-1&lang=CH
82127,行銷研究,陳瑀屏,"三6,7,8(請洽系所辦)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=724%20M4600&class=01&dpt_code=7240&ser_no=82127&semester=113-1&lang=CH
68547,人際溝通與讀者服務,陳書梅,"一7,8,9(圖資會議室)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=126%20U1620&class=&dpt_code=1060&ser_no=68547&semester=113-1&lang=CH
21953,人際關係導論:理論與實務,潘璦琬,"二6,7(請洽系所辦)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=409%2028400&class=&dpt_code=4090&ser_no=21953&semester=113-1&lang=CH
55338,人機互動,林維真,"二2,3,4(圖資資訊室)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=126%20U1350&class=&dpt_code=1060&ser_no=55338&semester=113-1&lang=CH
58523,人機介面設計專題,廖先順,"一3,4(綜203)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=522%20U6160&class=&dpt_code=5020&ser_no=58523&semester=113-1&lang=CH
45281,人類大腦神經影像導論,郭柏呈,"五6,7,8(北館A)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=227%20U3250&class=&dpt_code=2070&ser_no=45281&semester=113-1&lang=CH
57868,人類學,張正衡,"四3,4,5(普405)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=105%2012000&class=&dpt_code=1050&ser_no=57868&semester=113-1&lang=CH
24368,人類學的情感與情緒研究,黃郁茜,"五3,4,5(水源人105)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=125%20U3400&class=&dpt_code=1050&ser_no=24368&semester=113-1&lang=CH
65143,丈量社會：運用因果機器學習技術,王敏衡,"三A,B(社科研607)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=343%20U0310&class=&dpt_code=3430&ser_no=65143&semester=113-1&lang=CH
20164,三維電腦視覺與深度學習應用,陳祝嵩,"四8,9,10(資101)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=922%20U4750&class=&dpt_code=9020&ser_no=20164&semester=113-1&lang=CH
13045,三維模型與考古學,吳牧錞,"第1,14,15,16 週
一1(水源人105)六2,3,4,5,6,7(水源人105)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=125%20U3610&class=&dpt_code=1050&ser_no=13045&semester=113-1&lang=CH
30547,大局勢：美元流動性與七大參與者,賽明成,"一A,B,C(請洽系所辦)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=E41%20M0220&class=&dpt_code=E410&ser_no=30547&semester=113-1&lang=CH
43529,大型語言與語音模型技術,李宏毅,"三A,B,C(電二144)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=921%20U3580&class=&dpt_code=9210&ser_no=43529&semester=113-1&lang=CH
11100,大師給問-未來職涯巡航,余峻瑜,"五6,7(博雅102)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=H02%2050240&class=&dpt_code=H020&ser_no=11100&semester=113-1&lang=CH
35902,大氣科學概論,吳俊傑,"二1,2(大氣B105)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=209%2012400&class=&dpt_code=2090&ser_no=35902&semester=113-1&lang=CH
69275,大眾傳播理論,蔡蕙如,"四2,3,4(新聞313)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=342%20M2250&class=01&dpt_code=3420&ser_no=69275&semester=113-1&lang=CH
61637,大眾傳播理論,林麗雲,"四2,3,4(新聞315)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=342%20M2250&class=02&dpt_code=3420&ser_no=61637&semester=113-1&lang=CH
1027,大學國文：文化思想與寫作（一）,曹美秀,"五7,8,9(普304)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080120&class=02&dpt_code=0000&ser_no=01027&semester=113-1&lang=CH
1028,大學國文：文化思想與寫作（一）,林永勝,"五7,8,9(普305)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080120&class=03&dpt_code=0000&ser_no=01028&semester=113-1&lang=CH
1029,大學國文：文化思想與寫作（一）,彭美玲,"五7,8,9(普201)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080120&class=04&dpt_code=0000&ser_no=01029&semester=113-1&lang=CH
1030,大學國文：文化思想與寫作（一）,巫雪如,"五7,8,9(普501)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080120&class=05&dpt_code=0000&ser_no=01030&semester=113-1&lang=CH
1031,大學國文：文化思想與寫作（一）,黃啟書,"一7,8,9(普402)",https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=101%2080120&class=20&dpt_code=0000&ser_no=01031&semester=113-1&lang=CH
