url,stage,error
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=343%20U0310&class=&dpt_code=3430&ser_no=65143&semester=113-1&lang=CH,fetch,"('Connection aborted.', ConnectionResetError(10054, '遠端主機已強制關閉一個現存的連線。', None, 10054, None))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=002%2050780&class=06&dpt_code=T010&ser_no=97105&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Read timed out. (read timeout=10)"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=002%2050780&class=08&dpt_code=T010&ser_no=97107&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Read timed out. (read timeout=10)"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=002%2050780&class=09&dpt_code=T010&ser_no=97108&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Read timed out. (read timeout=10)"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=002%2050780&class=31&dpt_code=T010&ser_no=97109&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Read timed out. (read timeout=10)"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=002%2050780&class=07&dpt_code=T010&ser_no=97106&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Read timed out. (read timeout=10)"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=002%2050780&class=65&dpt_code=T010&ser_no=97115&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=002%2050780&class=65&dpt_code=T010&ser_no=97115&semester=113-1&lang=CH (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000013DFF78C580>: Failed to establish a new connection: [WinError 10065] 通訊端操作無法連線到主機。'))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=002%2050780&class=51&dpt_code=T010&ser_no=97112&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=002%2050780&class=51&dpt_code=T010&ser_no=97112&semester=113-1&lang=CH (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000013DFF838400>: Failed to establish a new connection: [WinError 10065] 通訊端操作無法連線到主機。'))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=002%2050780&class=54&dpt_code=T010&ser_no=97113&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=002%2050780&class=54&dpt_code=T010&ser_no=97113&semester=113-1&lang=CH (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000013DFF7B2B60>: Failed to establish a new connection: [WinError 10065] 通訊端操作無法連線到主機。'))"
https://nol.ntu.edu.tw/nol/coursesearch/print_table.php?course_id=002%2050780&class=32&dpt_code=T010&ser_no=97110&semester=113-1&lang=CH,fetch,"HTTPSConnectionPool(host='nol.ntu.edu.tw', port=443): Max retries exceeded with url: /nol/coursesearch/print_table.php?course_id=002%2050780&class=32&dpt_code=T010&ser_no=97110&semester=113-1&lang=CH (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x0000013DFF817580>: Failed to establish a new connection: [WinError 10065] 通訊端操作無法連線到主機。'))"
